,Gender,Mean_Age,Admitted,Rejected,Department,percent_admitted,percent_rejected
0,Female,25,89,19,A,0.8240740740740741,0.17592592592592593
1,Female,22,17,8,B,0.68,0.32
2,Female,24,202,391,C,0.3406408094435076,0.6593591905564924
3,Female,23,131,244,D,0.34933333333333333,0.6506666666666666
4,Female,24,94,299,E,0.23918575063613232,0.7608142493638677
5,Female,24,24,317,F,0.07038123167155426,0.9296187683284457
6,Male,22,512,313,A,0.6206060606060606,0.3793939393939394
7,Male,22,353,207,B,0.6303571428571428,0.36964285714285716
8,Male,23,120,205,C,0.36923076923076925,0.6307692307692307
9,Male,24,138,279,D,0.33093525179856115,0.6690647482014388
10,Male,22,53,138,E,0.2774869109947644,0.7225130890052356
11,Male,25,22,351,F,0.058981233243967826,0.9410187667560321
